"","x"
"126","@TSJ_Legitimo @CNNEE @StateDept @USAenEspanol @POTUS @UN @EAristeguieta @UEFAcom_es @UEmadrid @WhiteHouse… https://t.co/zJN5rs2rvA"
"127","@MSudsie @NiveaNotes @IndyPendant1776 @LukeCage___ @SpeakerRyan @WhiteHouse And...what does that have to do with anything????"
"128","@MaryRuth58 @smidge9099 @LadyChesapeake @jim_lewis1018 @WhiteHouse @BIGSEXYYT Your the racists starter calling ppl… https://t.co/DYFqtsah3l"
"129","@beegeekochav @WhiteHouse @POTUS Yes our leaders have balls as big as trump :D"
"130","@WhiteHouse https://t.co/LlHy4cnz1J Help Ahyden and her school teach their goal of $2018"
"131","@realDonaldTrump <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>
(Brexiteer here)
Well done Mr Trump !
Definately a good plan <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> https://t.co/VyT3KjHLG6"
"132","@goodbye56789 @McAndrewRants @madasednam @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill So pity lady, get some schoolings."
"133","#trump should make #garyvaynerchuk his communications director...(tgj) #cnn #foxnews #cspan #msnbc #whitehouse… https://t.co/XKPzZ9D27h"
"134","@realDonaldTrump @PressSec @hogangidley45 @JoeNBC @RichardHaass @mmckinnon @DonnyDeutsch @LastWeekTonight… https://t.co/SfEAulEI5h"
"135","@HuntsmanAbby @edhenry @EPAScottPruitt @realDonaldTrump @Reince @PeteHegseth @IvankaTrump @EricTrump… https://t.co/pNKDz6vxwa"
"136","@brewerybabe @americanjanes @WhiteHouse @POTUS Sorry, CNN is taking you for a ride..... https://t.co/DUIxtkdW4M"
"137","@BritComSociety @Herring1967 @Baddiel @mrrobnewman See that old guy who still thinks he’s the lad who saw The Mary… https://t.co/tDrBrMo0hk"
"138","@politicalHEDGE Really?No way !,best person to enter the Whitehouse in a very long time One thing for sure he’s not… https://t.co/lbTWv7yxrO"
"139","@flyby2474 @HrrEerren @realDonaldTrump @POTUS @WhiteHouse The NSA has it all, but to get it they will have to admit… https://t.co/h6e5TqfyVQ"
"140","#WarCrimes 
@WhiteHouse 
@StateDept 
@realDonaldTrump 
@VP 
@POTUS 
@FLOTUS 
@KellyannePolls… https://t.co/OLJewdpt6l"
"141","@MaryRuth58 @jim_lewis1018 @smidge9099 @LadyChesapeake @WhiteHouse @BIGSEXYYT Your the racists starter calling ppl… https://t.co/4erPRZIVV8"
"142","@realDonaldTrump the best way to make this country safe is to get you and your boyfriend #Putin out of the… https://t.co/2kX7HE1A24"
"143","@t0lerantparad0x @VikingBearGod @LockDemsUp @lilhobo17 @loudmouthdad @JoanneColombo @1_bammom @joshdcaplan… https://t.co/hK5NKKrIpE"
"144","@WSmith_1984_ @McAndrewRants @madasednam @goodbye56789 @realDonaldTrump @POTUS @WhiteHouse @PressSec @VP @thehill N… https://t.co/gT9RYH9V2s"
"145","Original art. @realDonaldTrump @RealDonalDrumpf @WhiteHouse #notmypresident #dumptrump #resist https://t.co/adpNTom2Uc"
